object_type,object_uri,id,title,folder,owner,last_viewed,views_90d,source_updated_at,tile_count,explore_refs,fields_refs,has_text_tile,translation_class,reason
tile,looker:analytics:dashboard:201/element:1887,1887,,Users/Lewis Baker,Lewis Baker,,,2023-09-20T12:09:53+00:00,,,,true,drop,"text tile, recreate by hand"
tile,looker:analytics:dashboard:201/element:1888,1888,,Users/Lewis Baker,Lewis Baker,,,2023-09-20T12:09:53+00:00,,,,true,drop,"text tile, recreate by hand"
tile,looker:analytics:dashboard:201/element:1889,1889,,Users/Lewis Baker,Lewis Baker,,,2023-09-20T12:09:53+00:00,,,,true,drop,"text tile, recreate by hand"
tile,looker:analytics:dashboard:201/element:1890,1890,,Users/Lewis Baker,Lewis Baker,,,2023-09-20T12:09:53+00:00,,,,true,drop,"text tile, recreate by hand"
tile,looker:analytics:dashboard:201/element:1891,1891,Cross Project Burndown,Users/Lewis Baker,Lewis Baker,,,2023-09-20T12:09:53+00:00,,delivery_analytics/wh_delivery__issues_fact_explore,wh_delivery__jira_issues_fact.count_of_jira_issue_pk;wh_delivery__jira_issues_fact.jira_issue_is_active_sprint;wh_delivery__jira_issues_fact.jira_issue_status_name;wh_delivery__jira_issues_fact.jira_issue_status_stage;wh_delivery__jira_issues_xa.sum_of_jira_issue_summary_story_point_estimate;wh_delivery__jira_sprints_dim.jira_start_at_date_date;wh_delivery__jira_users_dim.jira_user_name,false,mechanical,"fields: wh_delivery__jira_issues_fact.count_of_jira_issue_pk, wh_delivery__jira_issues_fact.jira_issue_is_active_sprint, wh_delivery__jira_issues_fact.jira_issue_status_name, wh_delivery__jira_issues_fact.jira_issue_status_stage, wh_delivery__jira_issues_xa.sum_of_jira_issue_summary_story_point_estimate, wh_delivery__jira_sprints_dim.jira_start_at_date_date); references field outside the parsed repo (explores: delivery_analytics/wh_delivery__issues_fact_explore; fields: wh_delivery__jira_issues_fact.count_of_jira_issue_pk, wh_delivery__jira_issues_fact.jira_issue_is_active_sprint, wh_delivery__jira_issues_fact.jira_issue_status_name, wh_delivery__jira_issues_fact.jira_issue_status_stage, wh_delivery__jira_issues_xa.sum_of_jira_issue_summary_story_point_estimate, wh_delivery__jira_sprints_dim.jira_start_at_date_date)"
tile,looker:analytics:dashboard:201/element:1892,1892,Issues Closed vs Issues Created,Users/Lewis Baker,Lewis Baker,,,2023-09-20T12:09:53+00:00,,delivery_analytics/wh_delivery__issues_fact_explore,wh_delivery__issues_fact.count_of_issue_pk;wh_delivery__jira_issues_fact.count_of_jira_issue_pk;wh_delivery__jira_issues_fact.jira_issue_is_active_sprint;wh_delivery__jira_issues_fact.jira_issue_is_done;wh_delivery__jira_sprints_dim.jira_start_at_date_date;wh_delivery__jira_users_dim.jira_user_name,false,mechanical,"dynamic_fields:table_calculation:Running total of Wh Delivery Issues Fact Count of Issue Pk;table_calculation:Percent of Wh Delivery Issues Fact Count of Issue Pk; fields: wh_delivery__issues_fact.count_of_issue_pk, wh_delivery__jira_issues_fact.count_of_jira_issue_pk, wh_delivery__jira_issues_fact.jira_issue_is_active_sprint, wh_delivery__jira_issues_fact.jira_issue_is_done, wh_delivery__jira_sprints_dim.jira_start_at_date_date, wh_delivery__jira_users_dim.jira_user_name); references field outside the parsed repo (explores: delivery_analytics/wh_delivery__issues_fact_explore; fields: wh_delivery__issues_fact.count_of_issue_pk, wh_delivery__jira_issues_fact.count_of_jira_issue_pk, wh_delivery__jira_issues_fact.jira_issue_is_active_sprint, wh_delivery__jira_issues_fact.jira_issue_is_done, wh_delivery__jira_sprints_dim.jira_start_at_date_date, wh_delivery__jira_users_dim.jira_user_name)"
tile,looker:analytics:dashboard:200/element:1901,1901,New Tile,Users/Lewis Baker,Lewis Baker,,,2022-11-28T09:40:33+00:00,,delivery_analytics/wh_delivery__issues_fact_explore,wh_delivery__harvest_projects_fact.harvest_project_is_active;wh_delivery__harvest_projects_fact.harvest_project_starts_on_date;wh_delivery__harvest_time_sheets_fact.sum_of_harvest_timesheet_hours;wh_delivery__harvest_time_sheets_fact.sum_of_harvest_timesheet_hours_budgeted,false,mechanical,"fields: wh_delivery__harvest_projects_fact.harvest_project_is_active, wh_delivery__harvest_projects_fact.harvest_project_starts_on_date, wh_delivery__harvest_time_sheets_fact.sum_of_harvest_timesheet_hours, wh_delivery__harvest_time_sheets_fact.sum_of_harvest_timesheet_hours_budgeted); references field outside the parsed repo (explores: delivery_analytics/wh_delivery__issues_fact_explore; fields: wh_delivery__harvest_projects_fact.harvest_project_is_active, wh_delivery__harvest_projects_fact.harvest_project_starts_on_date, wh_delivery__harvest_time_sheets_fact.sum_of_harvest_timesheet_hours, wh_delivery__harvest_time_sheets_fact.sum_of_harvest_timesheet_hours_budgeted)"
tile,looker:analytics:dashboard:201/element:1902,1902,Project Hours vs Budget,Users/Lewis Baker,Lewis Baker,,,2023-09-20T12:09:53+00:00,,delivery_analytics/wh_delivery__issues_fact_explore,wh_delivery__harvest_projects_fact.harvest_project_is_active;wh_delivery__harvest_projects_fact.harvest_project_starts_on_date;wh_delivery__harvest_projects_fact.sum_of_harvest_project_budget;wh_delivery__harvest_time_sheets_fact.sum_of_harvest_timesheet_hours,false,mechanical,"fields: wh_delivery__harvest_projects_fact.harvest_project_is_active, wh_delivery__harvest_projects_fact.harvest_project_starts_on_date, wh_delivery__harvest_projects_fact.sum_of_harvest_project_budget, wh_delivery__harvest_time_sheets_fact.sum_of_harvest_timesheet_hours); references field outside the parsed repo (explores: delivery_analytics/wh_delivery__issues_fact_explore; fields: wh_delivery__harvest_projects_fact.harvest_project_is_active, wh_delivery__harvest_projects_fact.harvest_project_starts_on_date, wh_delivery__harvest_projects_fact.sum_of_harvest_project_budget, wh_delivery__harvest_time_sheets_fact.sum_of_harvest_timesheet_hours)"
tile,looker:analytics:dashboard:201/element:1903,1903,Project Hours vs Budget,Users/Lewis Baker,Lewis Baker,,,2023-09-20T12:09:53+00:00,,delivery_analytics/wh_delivery__issues_fact_explore,wh_delivery__harvest_projects_fact.harvest_project_is_active;wh_delivery__harvest_projects_fact.harvest_project_name;wh_delivery__harvest_projects_fact.harvest_project_starts_on_date;wh_delivery__harvest_projects_fact.sum_of_harvest_project_budget;wh_delivery__harvest_time_sheets_fact.sum_of_harvest_timesheet_hours,false,mechanical,"fields: wh_delivery__harvest_projects_fact.harvest_project_is_active, wh_delivery__harvest_projects_fact.harvest_project_name, wh_delivery__harvest_projects_fact.harvest_project_starts_on_date, wh_delivery__harvest_projects_fact.sum_of_harvest_project_budget, wh_delivery__harvest_time_sheets_fact.sum_of_harvest_timesheet_hours); references field outside the parsed repo (explores: delivery_analytics/wh_delivery__issues_fact_explore; fields: wh_delivery__harvest_projects_fact.harvest_project_is_active, wh_delivery__harvest_projects_fact.harvest_project_name, wh_delivery__harvest_projects_fact.harvest_project_starts_on_date, wh_delivery__harvest_projects_fact.sum_of_harvest_project_budget, wh_delivery__harvest_time_sheets_fact.sum_of_harvest_timesheet_hours)"
tile,looker:analytics:dashboard:211/element:1918,1918,Campaign Cumulative Stats Ramp,Shared/Marketing,Mark Rittman,,,2023-07-04T16:19:00+00:00,,analytics/web_sessions_fact,web_events_fact.event_type;web_events_fact.page_url_path;web_events_fact.total_blended_user_id;web_events_fact.total_page_views;web_events_fact.web_event_pk;web_sessions_fact.blended_user_id;web_sessions_fact.bounced_session_rate;web_sessions_fact.count;web_sessions_fact.session_start_ts_date;web_sessions_fact.session_utm_campaign;web_sessions_fact.total_duration_in_s,false,mechanical,"dynamic_fields:measure:Landing Page Views;measure:eBook Download Page Views;table_calculation:Running total of   Sessions Count;table_calculation:Running total of  Landing Page Views;table_calculation:Running total ; references field outside the parsed repo (fields: web_events_fact.web_event_pk, web_sessions_fact.count, web_sessions_fact.total_duration_in_s)"
